TO_RETRIEVE,uri_s
true,https://hal.archives-ouvertes.fr/hal-03153465
false,https://hal.archives-ouvertes.fr/hal-03329203
false,https://hal.archives-ouvertes.fr/hal-03356664
false,https://halshs.archives-ouvertes.fr/halshs-03282198
false,https://hal.archives-ouvertes.fr/hal-03281809 
false,https://hal.archives-ouvertes.fr/hal-03384746
false,https://hal.archives-ouvertes.fr/hal-03355464
false,https://halshs.archives-ouvertes.fr/halshs-03335611
false,https://halshs.archives-ouvertes.fr/halshs-03326792
false,https://hal.archives-ouvertes.fr/hal-03281842
false,https://hal.archives-ouvertes.fr/hal-01726578
false,https://hal.archives-ouvertes.fr/hal-03350974
false,https://hal.archives-ouvertes.fr/hal-02195926
false,https://hal-sciencespo.archives-ouvertes.fr/hal-03399574
false,https://hal.archives-ouvertes.fr/hal-03281830
false,https://hal.archives-ouvertes.fr/hal-03281509
false,https://hal.archives-ouvertes.fr/hal-03352905
false,https://hal.archives-ouvertes.fr/hal-03353701
false,https://hal.archives-ouvertes.fr/hal-03389540
true,https://hal.archives-ouvertes.fr/hal-03034701
true,https://hal.archives-ouvertes.fr/hal-02367200v3
false,https://halshs.archives-ouvertes.fr/halshs-03330242
false,https://hal.archives-ouvertes.fr/hal-03329190
true,https://halshs.archives-ouvertes.fr/halshs-02334593
false,https://hal.archives-ouvertes.fr/hal-03353422
false,https://hal.archives-ouvertes.fr/hal-03355063
false,https://hal.archives-ouvertes.fr/hal-03355778
false,https://hal.archives-ouvertes.fr/hal-03330739
false,https://hal.archives-ouvertes.fr/hal-03330856
false,https://hal.univ-lille.fr/hal-03367431
true,https://halshs.archives-ouvertes.fr/halshs-03201787
true,https://hal.archives-ouvertes.fr/hal-02093378
true,https://halshs.archives-ouvertes.fr/halshs-02301605
false,https://hal-sciencespo.archives-ouvertes.fr/hal-03409197
false,https://hal-paris1.archives-ouvertes.fr/hal-03346183
