Name,URL,ISSN,"EconLit Coverage",Formerly,See
"4OR: A Quarterly Journal of Operations Research",https://link.springer.com/journal/volumesAndIssues/10288,1619-4500,"2005, 3(2) - present","4OR: Quarterly Journal of the Belgian, French and Italian Operations Research Societies",
"4OR: Quarterly Journal of the Belgian, French and Italian Operations Research Societies",,1619-4500,"2005, 2(1) - 2005, 3(1)",,"4OR: A Quarterly Journal of Operations Research"
"Academia Economic Papers",https://www.econ.sinica.edu.tw/posts/137,1018-161X,"March 1992, 20(1) - present",,
"Accounting, Business and Financial History",,0958-5206,"March 2000, 10(1) - November 2010, 20(3)",,"Accounting History Review"
"Accounting, Economics, and Law: A Convivium",http://www.degruyter.com/view/j/ael,2194-6051,"January 2011, 1(1) - present",,
"Accounting History Review",http://www.tandfonline.com/loi/rabf21,2155-2851,"March 2011, 21(1) - present","Accounting, Business and Financial History",
"Accounting Review",http://aaapubs.org/loi/accr,0001-4826,"Jan. 1969, 44(1) - present",,
"ACES Bulletin",,0360-5930,"Spring 1977, 19(1) - Winter 1984, 26(4)",,"Comparative Economic Studies"
"Acta Oeconomica",https://akjournals.com/view/journals/032/032-overview.xml,0001-6373,"1969, 4(2) - present",,
"Acta Oeconomica Pragensia",http://www.vse.cz/aop/archiv.php?lang=en,0572-3043,"2014, 22(1) - 2019, 27(3-4)",,
"Acta Turistica",https://www.jstor.org/journal/actaturistica,0353-4316,"2006, 18(1) - present",,
"Acta Universitatis Danubius. Economica",https://dj.univ-danubius.ro/index.php/AUDOE/issue/archive,2065-0175,"2020, 16(1) - present",,
"Actual Problems of Economics",http://nam.kiev.ua/en/actual-problems-of-economics.html,1993-6788,"2012, 127(1) - 2017, 194(8)",,
"Actualidad Económica",https://revistas.unc.edu.ar/index.php/acteconomica/issue/archive,0327-585X,"January-April 2017, 27(91) - present",,
AD-minister,http://publicaciones.eafit.edu.co/index.php/administer/issue/archive#.UouXLydOt8G,1692-0279,"January-June 2012, (20) - 2017, (31)",,
"Advances in Economic Analysis and Policy",,1538-0637,"2001, 1(1) - 2004, 4(2)",,"B.E. Journal of Economic Analysis and Policy: Advances in Economic Analysis and Policy"
"Advances in Economics and Business",http://www.hrpub.org/journals/jour_archive.php?id=18&iid=15,2331-5059,"2013, 1(1) - 2018, 6(3)",,
"Advances in Macroeconomics",,1534-6013,"2001, 1(1) - 2004, 4(1)",,"B.E. Journal of Macroeconomics: Advances in Macroeconomics"
"Advances in Management and Applied Economics",http://www.scienpress.com/journal_focus.asp?main_id=55&Sub_id=IV,1792-7544,"June 2011, 1(1) - present",,
"Advances in Theoretical Economics",,1534-5963,"2001, 1(1) - 2004, 4(1)",,"B.E. Journal of Theoretical Economics: Advances in Theoretical Economics"
"Advancing the Consumer Interest",,1044-7385,"Spring 1995, 7(1) - Fall 2001-Winter 2002, 13(1-2)",,
"AEA Papers and Proceedings",https://www.aeaweb.org/journals/pandp,2574-0768,"May 2018, 108(1) - present",,
"Aestimatio: The IEB International Journal of Finance",http://www.ieb.es/secc.aspx?idsec=1348,2173-0164,"December 2010, (1) - 2016, (12)",,
Aestimum,https://oaj.fupress.net/index.php/ceset/issue/archive,1592-6117,"June 2010, (56) - present",,
"African Development Review/Revue Africaine de Developpement",https://onlinelibrary.wiley.com/loi/14678268,1017-6772,"June 1992, 4(1) - present",,
"African Economic History",https://aeh.uwpress.org/content/by/year,0145-2258,"1984, (13) - present",,
"African Finance Journal",http://www.africagrowth.com/afjabstracts.htm,1605-9786,"1999, 1(1) - present",,
"African Journal of Economic and Sustainable Development",http://www.inderscience.com/jhome.php?jcode=ajesd,2046-4770,"2012, 1(1) - present",,
"African Journal of Social Sciences",https://topjournals.co.uk/african-journal-of-social-sciences,2045-8452,"2011, 1(1) - 2016, 6(2)",,
"Afro-Asian Journal of Finance and Accounting",https://www.inderscience.com/jhome.php?jcode=aajfa,1751-6447,"2017, 7(1) - present",,
AgBioForum,http://www.agbioforum.org/,1522-936X,"1998, 1(1) - present",,
Agenda,https://press.anu.edu.au/publications/journals/agenda,1322-1833,"1996, 3(1) - present",,
"Ager: Revista de Estudios sobre Despoblación y Desarrollo Rural",http://www.ceddar.org,1578-7168,"2007, (6) - present",,
Agrekon,http://www.tandfonline.com/loi/ragr20#.VGz44YfwToI,0303-1853,"March 2008, 47(1) - present",,
Agribusiness,https://onlinelibrary.wiley.com/loi/15206297,0742-4477,"Jan.-Feb. 1997, 13(1) - present",,
"Agricultural and Food Economics",http://www.agrifoodecon.com/archive,2193-7532,"2013, 1 - present",,
"Agricultural and Resource Economics",http://are-journal.com/are/issue/archive,2414-584X,"2018, 4(1) - present",,
"Agricultural and Resource Economics Review",https://www.cambridge.org/core/journals/agricultural-and-resource-economics-review/all-issues,1068-2805,"April 1996, 25(1) - present",,
"Agricultural Economics",http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291574-0862/issues,0169-5150,"April 1996, 14(1) - present",,
"Agricultural Economics and Rural Development",http://www.eadr.ro/eng_index.htm,1841-0375,"2013, 10(1) - present",,
"Agricultural Economics Research",,0002-1423,"Jan. 1969, 21(1) - Winter 1987, 39(1)",,"Journal of Agricultural Economics Research"
"Agricultural Economics Review",http://aer.web.auth.gr/,1109-2580,"January 2000, 1(1) - present",,
"Agricultural Finance Review",http://www.emeraldinsight.com/journals.htm?issn=0002-1466,0002-1466,"July 1969, 30 - April 1976, 36; 1998, 58 - present",,
"Agriculture and Human Values",https://link.springer.com/journal/volumesAndIssues/10460,0889-048X,"March 1998, 15(1) - present",,
"Agriculture and Resources Quarterly",,1032-9722,"March 1992, 4(1) - Dec. 1993, 5(4)",,"Australian Commodities Forecasts and Issues"
Agroalimentaria,http://www.saber.ula.ve/ciaal/agroalimentaria,1316-0354,"January-June 2008, (26) - July-December 2012, 18(35)",,
"Agronomia Mesoamericana",http://www.mag.go.cr/Agronomia_Mesoamericana/vol_anteriores.html,1021-7444,"1995, 6 - January-June 2013, 24(1)",,
"Akademija MM",http://www.dmslo.si/projekti/akademija-mm/,1408-1652,"May 2007, 7(11) - present",,
"Akdeniz IIBF Dergisi",https://dergipark.org.tr/auiibfd/archive,1302-9975,"May 2008, 8(15) - present",,
"Allgemeines Statistisches Archiv/Journal of the German Statistical Society",,0002-6018,"2000, 84(1) - 2006, 90(4)",,"AStA: Advances in Statistical Analysis"
"Alphanumeric Journal",https://www.alphanumericjournal.com/archive,2148-2225,"2013, 1(1) - present",,
"América Latina en la Historia Económica",http://alhe.mora.edu.mx/index.php/ALHE/issue/archive,1405-2253,"January-April 2016, 23(1) - present",,
"American Economic Journal: Applied Economics",http://www.aeaweb.org/aej-applied/,1945-7782,"January 2009, 1(1) - present",,
"American Economic Journal: Economic Policy",http://www.aeaweb.org/aej-policy/,1945-7731,"February 2009, 1(1) - present",,
"American Economic Journal: Macroeconomics",http://www.aeaweb.org/aej-macro/,1945-7707,"January 2009, 1(1) - present",,
"American Economic Journal: Microeconomics",http://www.aeaweb.org/aej-micro/,1945-7669,"February 2009, 1(1) - present",,
"American Economic Review",http://www.aeaweb.org/aer/,0002-8282,"April 1911, 1(1) - present",,
"American Economic Review: Insights",https://www.aeaweb.org/journals/aeri,2640-205X,"2019, 1(1) - present",,
"American Economist",https://journals.sagepub.com/loi/aexb,0569-4345,"Spring 1969, 13(1) - present",,
"American Enterprise",,1047-3572,"Jan.-Feb. 1991, 2(1) - Dec. 2000, 11(8)",,
"American Historical Review",http://www.indiana.edu/~ahrweb/issues.html,0002-8762,"June 1969, 74(5) - June 1992, 97(3)",,
"American Journal of Agricultural Economics",https://onlinelibrary.wiley.com/loi/14678276,0002-9092,"February 1968, 50(1) - present",,
"American Journal of Business",http://www.emeraldinsight.com/journal/ajb,1935-5181,"2015, 30(1) - present",,
"American Journal of Economics and Sociology",http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291536-7150/issues,0002-9246,"Jan. 1969, 28(1) - present",,
"American Journal of Finance and Accounting",http://www.inderscience.com/ajfa,1752-7767,"2008, 1(1) - present",,
"American Journal of Health Economics",https://www.journals.uchicago.edu/loi/ajhe,2332-3493,"Winter 2015, 1(1) - present",,
"American Law and Economics Review",https://academic.oup.com/aler/issue,1465-7252,"Fall 1999, 1(1-2) - present",,
"American Political Science Review",http://journals.cambridge.org/action/displayBackIssues?jid=PSR,0003-0554,"June 1969, 63(2) - present",,
"American Prospect",http://prospect.org/magazine,1049-7285,"Spring 1990, (1) - March 2002, 13(6)",,
"American Real Estate and Urban Economics Association Journal",,0270-0484,"June 1973, 1(1) - Spring 1994, 22(1)",,"Journal of the American Real Estate and Urban Economics Association"
"American Review of Political Economy",http://www.arpejournal.com,1551-1383,"December 2002, 1(1) - present",,
"American Statistician",http://www.tandfonline.com/loi/utas20#.UmAsYSSKTwA,0003-1305,"Feb. 1969, 23(1) - Dec. 1970, 24(5)",,
"Amfiteatru Economic",http://www.amfiteatrueconomic.ro/Arhiva_EN.aspx,1582-9146,"February 2006, 8(19) - present",,
"Anáhuac Journal",https://revistas.anahuac.mx/the_anahuac_journal,1405-8448,"1st Semester 2019, 19(1) - present",,
"Análise Econômica",http://seer.ufrgs.br/AnaliseEconomica/issue/archive,0102-9924,"March 2012, 30(57) - present",,
"Análisis Económico",http://www.analisiseconomico.azc.uam.mx/index.php/rae/issue/archive,0185-3937,"3rd Quadrimester 2004, 19(42) - present",,
"Análisis Financiero",http://ieaf.es/new/analisis-financiero/english-version/published-issues.html,0210-2358,"1st Quadrimester 2010, (112) - 3rd Quadrimester 2010, (114)",,
"Analyse Prévision",,,"May 1972, 13(5) - July-Aug. 1972, 14(1-2)",,
"Annales d'Economie et de Statistique",,0769-489X,"Jan.-Mar. 1986, (1) - July-December 2013, (111-112)","Annales de l'INSEE","Annals of Economics and Statistics/Annales d'Économie et de Statistique"
"Annales de l'INSEE",,0019-0209,"Jan.-June 1979, (33-34) - July-Dec. 1985, (59-60)",,"Annales d'Economie et de Statistique"
"Annales de Sciences Economiques Appliqués",,0003-4207,"1972, 30(4-5) - 1983, 39(4)",,
"Annales Universitatis Apulensis Series Oeconomica",http://www.oeconomica.uab.ro/index.php?l=en&p=arhives,1454-9409,"2010, 12(1) - 2017, 19(1)",,
"Annals of ""Dunarea de Jos"" University of Galati: Fascicle 1: Economics and Applied Informatics",http://www.eia.feaa.ugal.ro/#,1584-0409,"2010, 16(1) - present",,
"Annals of Actuarial Science",http://journals.cambridge.org/action/displayBackIssues?jid=AAS,1748-4995,"2011, 5(1) - present",,
"Annals of Corporate Governance",http://www.nowpublishers.com/ACG,2381-6724,"2016, 1(1) - present",,
"Annals of Economic and Social Measurement",,,"Jan. 1972, 1(1) - Winter-Spring 1977, 6(5)",,
"Annals of Economics and Finance",http://aeconf.com/contents.htm,1529-7373,"May 2000, 1(1) - present",,
"Annals of Economics and Statistics/Annales d'Économie et de Statistique",https://www.jstor.org/journal/annaeconstat2009,2115-4430,"June 2014, (113-114) - present","Annales d'Economie et de Statistique",
"Annals of Finance",https://link.springer.com/journal/volumesAndIssues/10436,1614-2446,"January 2005, 1(1) - present",,
"Annals of Financial Economics",http://www.worldscientific.com/loi/afe,2010-4952,"April 2012, 7(1) - present",,
"Annals of Public and Cooperative Economics",http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291467-8292/issues,1370-4788,"January 1989, 60(1) - present",,
"Annals of Public and Co-operative Economy",http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291467-8292/issues,0770-8548,"January-March 1964, 35(1) - October-December 1988, 59(4)",,
"Annals of Regional Science",https://link.springer.com/journal/volumesAndIssues/168,0570-1864,"Nov. 1984, 18(3) - present",,
"Annals of the American Academy of Political and Social Science",http://ann.sagepub.com/content/by/year,0002-7162,"Jan. 1969, 381 - Jan. 1983, 465; Jan. 1998, 555 - present",,
"Annals of the Society for the History of Economic Thought",,0453-4786,"June 2004, (45) - November 2004, (46)",,"History of Economic Thought"
"Annual Review of Economics",http://arjournals.annualreviews.org/loi/economics,1941-1383,"2009, 1(1) - 2013, 5(1)",,
"Annual Review of Financial Economics",http://arjournals.annualreviews.org/loi/financial,1941-1367,"2009, 1(1) - 2012, 4(1)",,
"Annual Review of Resource Economics",http://arjournals.annualreviews.org/loi/resource,1941-1340,"2009, 1(1) - 2012, 4(1)",,
"Anthropology of Work Review",http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291548-1417/issues,0883-024X,"Spring 2010, 31(1) - present",,
"Antitrust Bulletin",http://journals.sagepub.com/loi/abx,0003-603X,"Fall 1969, 14 - present",,
"Applied Econometrics",http://appliedeconometrics.cemi.rssi.ru/AppEc_en.html,1993-7601,"2010, (17) - present",,
"Applied Econometrics and International Development",http://www.usc.es/~economet/aeid.htm,1578-4487,"January-June 2001, 1(1) - present",,
"Applied Economic Analysis",https://www.emerald.com/insight/publication/issn/2632-7627?_ga=2.186742056.1039450854.1611842207-1422907866.1608318142,2632-7627,"2019, 27(79) - present","Revista de Economia Aplicada",
"Applied Economic Perspectives and Policy",https://onlinelibrary.wiley.com/journal/20405804,2040-5790,"Spring 2010, 32(1) - present","Review of Agricultural Economics",
"Applied Economics",http://www.tandfonline.com/loi/raec20,0003-6846,"May 1969, 1(2) - present",,
"Applied Economics Letters",http://www.tandfonline.com/loi/rael20,1350-4851,"Jan. 1994, 1(1) - present","Applied Financial Economics Letters",
"Applied Economics Quarterly",https://elibrary.duncker-humblot.com/journal/22/applied-economics-quarterly,1611-6607,"2004, 49(1) - present",Konjunkturpolitik,
"Applied Economics Teaching Resources",https://www.aaea.org/publications/applied-economics-teaching-resources/volumes,2688-5999,"June 2019, 1(1) - present",,
"Applied Finance Letters",https://ojs.aut.ac.nz/applied-finance-letters/issue/archive,2253-5799,"2017, 6(1) - present",,
"Applied Financial Economics",http://www.tandfonline.com/loi/rafe20,0960-3107,"March 1991, 1(1) - December 2014, 24(22-24)",,
"Applied Financial Economics Letters",,1744-6546,"January 2005, 1(1) - present",,"Applied Economics Letters"
"Applied Health Economics and Health Policy",https://link.springer.com/journal/volumesAndIssues/40258,1175-5652,"2002, 1(1) - present",,
"Applied Mathematical Finance",http://www.tandfonline.com/loi/ramf20,1350-486X,"March 2000, 7(1) - present",,
"Apuntes del CENES",http://revistas.uptc.edu.co/revistas/index.php/cenes/issue/archive,0120-3053,"1st Semester 2009, 28(47) - present",,
"Aquaculture Economics and Management",http://www.tandfonline.com/loi/uaqm20,1365-7305,"1997, 1(1-2) - present",,
"Archives of Economic History",http://archivesofeconomichistory.com/issues.php,1108-7005,"Jan.-June 1995, 6(1) - present",,
"Argomenti: Rivista di Economia, Cultura e Ricerca Sociale: Nuova Serie",http://ojs.uniurb.it/index.php/argomenti/issue/archive,1125-9116,"January-April 2009, (25) - present",,
"Arquivo do Instituto Gulbenkian de Ciência",,,"1969, 4(1&2) - 1971, 6(2)",,
Arthaniti,,,"November 1957, 1(1) - 1975-1976, 17",,
Artha-Vikas,,0004-3567,"Jan. 1969, 5(1) - Jan.-Dec. 1981, 17(1-2)",,
"ASEAN Economic Bulletin",,0217-4472,"July 1996, 13(1) - December 2012, 29(3)",,"Journal of Southeast Asian Economies"
"Asia and the Global Economy",https://www.sciencedirect.com/journal/asia-and-the-global-economy/issues,2667-1115,"January 2021, 1(1) - present",,
"Asia and the Pacific Policy Studies",http://onlinelibrary.wiley.com/journal/10.1002/%28ISSN%292050-2680/issues,2050-2680,"January 2014, 1(1) - present",,
"Asia Europe Journal",https://link.springer.com/journal/volumesAndIssues/10308,1610-2932,"January 2004, 2(1) - present",,
"Asia Pacific Business Review",http://www.tandfonline.com/loi/fapb20#.UcCmgtiE7xU,1360-2381,"Autumn 1995, 2(1) - present",,
"Asia Pacific Journal of Economics and Business",http://business.curtin.edu.au/research/publications/journals/apjeb/previous_issues.cfm,1326-8481,"June 1997, 1(1) - December 2010, 14(2)",,
"Asia Pacific Management Review",https://www.sciencedirect.com/journal/asia-pacific-management-review/issues,1029-3132,"March 2013, 18(1) - present",,
"Asian Academy of Management Journal of Accounting and Finance",http://web.usm.my/journal/aamjaf/content.html,1823-4992,"2013, 9(1) - present",,
"Asian Business and Management",https://link.springer.com/journal/volumesAndIssues/41291,1472-4782,"March 2008, 7(1) - present",,
"Asian Development Review",https://www.worldscientific.com/worldscinet/adr,0116-1105,"1994, 12(1) - present",,
"Asian Economic and Financial Review",http://www.aessweb.com/journals/5002/info/ci,2305-2147,"March 2011, 1(1) - 2017, 7(2)",,
"Asian Economic Journal",http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291467-8381/issues,1351-3958,"March 1996, 10(1) - present",,
"Asian Economic Papers",http://www.mitpressjournals.org/loi/asep,1535-3516,"Winter 2002, 1(1) - present",,
"Asian Economic Policy Review",http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291748-3131/issues,1832-8105,"June 2006, 1(1) - present",,
"Asian Economic Review",,,"Feb. 1969, 11(2) - Dec. 1970, 12(3)",,
"Asian Journal of Economic Modelling",http://www.aessweb.com/journals/5009/info/more,2313-2884,"2013, 1(1) - 2017, 5(1)",,
"Asian Journal of Law and Economics",http://www.degruyter.com/view/j/ajle,2194-6086,"December 2014, 5(1-2) - present",,
"Asian-African Journal of Economics and Econometrics",http://serialsjournals.com/archives.php?journals_id=10,0972-3986,"June 2001, 1(1) - 2015, 15(1)",,
"Asian-Pacific Economic Literature",http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291467-8411/issues,0818-9935,"March 1988, 2(1) - present",,
"Asia-Pacific Development Journal",,1020-1246,"June 1994, 1(1) - December 2017, 24(2)",,"Asia-Pacific Sustainable Development Journal"
"Asia-Pacific Financial Markets",https://link.springer.com/journal/volumesAndIssues/10690,1387-2834,"1998, 5(1) - present","Financial Engineering and the Japanese Markets",
"Asia-Pacific Journal of Accounting and Economics",http://www.tandfonline.com/loi/raae20#.UcCm9diE7xU,1608-1625,"June 2005, 12(1) - present",,
